id,sku,name,category,packageWeightKg,stock,picks,packageLengthM,packageWidthM,packageHeightM,unitsPerContainer,stackable,allowHorizontalRotation,storageType,velocity,visualType
"P190","SKU-DAI-0190","Cream 35% 20","Dairy",4.5,104,890,0.4,0.29,0.24,15,FALSE,TRUE,"refrigerated","A","can"
"P191","SKU-BEA-0191","Perfume Roll 20","Beauty",20.28,76,121,1.27,0.75,0.48,5,FALSE,TRUE,"pallet","C","pallet"
"P192","SKU-BEV-0192","Iced Tea 20","Beverages",9.56,77,132,0.25,0.19,0.14,7,TRUE,TRUE,"refrigerated","A","box"
"P193","SKU-BEA-0193","Deodorant 20","Beauty",9.84,78,143,0.26,0.26,0.12,5,TRUE,TRUE,"shelf","B","bag"
"P194","SKU-OFF-0194","Binder Clips 20","Office",0.8,224,256,0.24,0.16,0.09,6,TRUE,TRUE,"shelf","B","bottle"
"P195","SKU-GAR-0195","Potting Mix 20","Gardening",10.4,80,165,0.2,0.19,0.15,10,TRUE,TRUE,"shelf","C","crate"
"P196","SKU-FRO-0196","Frozen Berry Mix 20","Frozen",12.54,32,392,0.55,0.38,0.34,8,FALSE,TRUE,"refrigerated","A","drum"
"P197","SKU-BEV-0197","Mineral Water 20","Beverages",10.96,82,187,0.37,0.26,0.2,12,FALSE,FALSE,"refrigerated","A","tube"
"P198","SKU-BEA-0198","Hand Cream 20","Beauty",11.24,83,198,0.2,0.2,0.11,10,TRUE,TRUE,"shelf","B","can"
"P199","SKU-SNA-0199","Potato Chips 20","Snacks",11.97,84,209,0.26,0.17,0.12,11,FALSE,FALSE,"shelf","C","pack"
"P200","SKU-TOO-0200","Level Tool 21","Tools",9.3,13,65,0.28,0.18,0.15,11,TRUE,TRUE,"shelf","C","box"
"P201","SKU-PET-0201","Paw Cream 21","Pet Supplies",31.08,86,231,1.15,0.75,0.45,7,TRUE,FALSE,"pallet","C","pallet"
"P202","SKU-BEV-0202","Sparkling Water 21","Beverages",12.36,87,242,0.31,0.21,0.18,3,TRUE,TRUE,"refrigerated","C","bottle"
"P203","SKU-FRO-0203","French Fries 21","Frozen",14.92,39,171,0.55,0.38,0.34,15,FALSE,TRUE,"refrigerated","A","crate"
"P204","SKU-HOM-0204","Laundry Detergent 21","Home Care",32.92,89,264,1.15,0.75,0.45,8,TRUE,TRUE,"pallet","C","pallet"
"P205","SKU-PET-0205","Paw Cream 21","Pet Supplies",24.2,90,25,1.21,0.75,0.45,6,TRUE,TRUE,"pallet","C","pallet"
"P206","SKU-TOO-0206","Level Tool 21","Tools",11.82,19,191,0.28,0.18,0.15,3,TRUE,TRUE,"shelf","C","can"
"P207","SKU-FRO-0207","Frozen Berry Mix 21","Frozen",16.28,43,239,0.55,0.38,0.34,5,FALSE,FALSE,"refrigerated","A","pack"
"P208","SKU-HOM-0208","Laundry Detergent 21","Home Care",14.04,93,58,0.26,0.22,0.16,9,TRUE,TRUE,"shelf","A","box"
"P209","SKU-CLE-0209","Microfiber Cloth 21","Cleaning",14.32,94,69,0.32,0.19,0.18,9,FALSE,TRUE,"fragile","C","bag"
"P210","SKU-TOO-0210","Utility Knife 22","Tools",13.5,23,85,0.28,0.18,0.15,7,FALSE,TRUE,"shelf","C","bottle"
"P211","SKU-PET-0211","Pet Shampoo 22","Pet Supplies",27.88,96,91,1.21,0.75,0.45,6,TRUE,TRUE,"pallet","C","pallet"
"P212","SKU-TOO-0212","Utility Knife 22","Tools",14.34,25,127,0.28,0.18,0.15,9,TRUE,TRUE,"shelf","C","drum"
"P213","SKU-FRO-0213","Mixed Vegetables 22","Frozen",18.32,49,341,0.55,0.38,0.34,11,FALSE,TRUE,"refrigerated","A","tube"
"P214","SKU-BEV-0214","Craft Lager 22","Beverages",15.72,99,124,0.31,0.28,0.18,15,FALSE,TRUE,"refrigerated","C","can"
"P215","SKU-BEA-0215","Body Lotion 22","Beauty",35,100,135,1.27,0.75,0.48,8,TRUE,TRUE,"pallet","C","pallet"
"P216","SKU-TOO-0216","Level Tool 22","Tools",16.02,29,211,0.28,0.18,0.15,13,TRUE,TRUE,"shelf","C","box"
"P217","SKU-PET-0217","Cat Toy 22","Pet Supplies",16.56,102,157,0.26,0.15,0.12,7,FALSE,TRUE,"shelf","A","bag"
"P218","SKU-SNA-0218","Nuts Assorted 22","Snacks",17.29,103,168,0.32,0.24,0.14,2,TRUE,TRUE,"shelf","B","bottle"
"P219","SKU-BEV-0219","Energy Drink 22","Beverages",17.12,104,179,0.25,0.22,0.17,6,FALSE,TRUE,"refrigerated","C","crate"
"P220","SKU-FRO-0220","Frozen Berry Mix 23","Frozen",2,56,120,0.55,0.38,0.34,4,TRUE,TRUE,"refrigerated","B","drum"
"P221","SKU-TOO-0221","Utility Knife 23","Tools",18.12,34,126,0.28,0.18,0.15,4,TRUE,TRUE,"shelf","C","tube"
"P222","SKU-PET-0222","Pet Shampoo 23","Pet Supplies",17.96,107,212,0.2,0.22,0.11,12,TRUE,TRUE,"shelf","A","can"
"P223","SKU-SNA-0223","Pretzel Mix 23","Snacks",35.69,108,223,1.21,0.75,0.45,8,TRUE,FALSE,"pallet","A","pallet"
"P224","SKU-CLE-0224","Trash Bag 23","Cleaning",26.52,109,234,1.27,0.75,0.45,6,TRUE,TRUE,"pallet","C","pallet"
"P225","SKU-OFF-0225","Label Roll 23","Office",2.2,45,275,0.24,0.16,0.09,9,TRUE,TRUE,"shelf","B","bag"
"P226","SKU-CLE-0226","Bleach 23","Cleaning",19.08,111,256,0.26,0.2,0.16,12,TRUE,FALSE,"shelf","C","bottle"
"P227","SKU-PET-0227","Paw Cream 23","Pet Supplies",19.36,112,267,0.32,0.17,0.18,3,TRUE,TRUE,"shelf","A","crate"
"P228","SKU-OFF-0228","Stapler 23","Office",2.8,48,302,0.24,0.16,0.09,12,TRUE,TRUE,"shelf","B","drum"
"P229","SKU-GAR-0229","Plant Fertilizer 23","Gardening",19.92,114,39,0.26,0.22,0.12,2,FALSE,FALSE,"shelf","A","tube"
"P230","SKU-BEA-0230","Deodorant 24","Beauty",20.2,115,50,0.32,0.19,0.14,14,TRUE,FALSE,"fragile","B","can"
"P231","SKU-CLE-0231","Microfiber Cloth 24","Cleaning",20.48,116,61,0.2,0.15,0.15,3,TRUE,TRUE,"shelf","B","pack"
"P232","SKU-BEA-0232","Hand Cream 24","Beauty",20.76,117,72,0.26,0.24,0.16,2,TRUE,TRUE,"shelf","C","box"
"P233","SKU-SNA-0233","Pretzel Mix 24","Snacks",21.49,118,83,0.32,0.2,0.18,3,TRUE,TRUE,"shelf","C","bag"
"P234","SKU-BEV-0234","Sparkling Water 24","Beverages",21.32,119,94,0.25,0.19,0.14,7,FALSE,FALSE,"refrigerated","A","bottle"
"P235","SKU-PET-0235","Dog Food 20kg 24","Pet Supplies",21.6,120,105,0.26,0.26,0.12,11,FALSE,TRUE,"shelf","B","crate"
"P236","SKU-OFF-0236","A4 Folder 24","Office",4.4,56,114,0.24,0.16,0.09,6,TRUE,FALSE,"shelf","B","drum"
"P237","SKU-HAR-0237","Electrical Relay 24","Hardware",24.46,122,127,0.2,0.19,0.15,9,TRUE,FALSE,"shelf","C","tube"
"P238","SKU-FRO-0238","Mixed Vegetables 24","Frozen",8.12,74,426,0.55,0.38,0.34,8,FALSE,TRUE,"refrigerated","A","can"
"P239","SKU-HOM-0239","Disinfectant Spray 24","Home Care",22.72,124,149,0.32,0.24,0.18,12,FALSE,TRUE,"shelf","C","pack"
"P240","SKU-CLE-0240","Bleach 25","Cleaning",0.6,125,160,0.2,0.2,0.11,12,FALSE,TRUE,"shelf","A","box"
"P241","SKU-FRO-0241","Frozen Berry Mix 25","Frozen",9.14,77,137,0.55,0.38,0.34,11,FALSE,TRUE,"refrigerated","A","bag"
"P242","SKU-BEV-0242","Sparkling Water 25","Beverages",1.16,127,182,0.37,0.28,0.16,15,FALSE,FALSE,"refrigerated","A","bottle"
"P243","SKU-BEA-0243","Conditioner 25","Beauty",1.44,128,193,0.2,0.22,0.15,13,FALSE,TRUE,"shelf","C","crate"
"P244","SKU-SNA-0244","Trail Mix 25","Snacks",2.17,129,204,0.26,0.19,0.16,14,FALSE,TRUE,"shelf","C","drum"
"P245","SKU-TOO-0245","Level Tool 25","Tools",9.3,58,60,0.28,0.18,0.15,14,TRUE,FALSE,"shelf","C","tube"
"P246","SKU-FRO-0246","Berry Smoothie Cubes 25","Frozen",10.84,82,222,0.55,0.38,0.34,2,TRUE,FALSE,"refrigerated","B","can"
"P247","SKU-HOM-0247","Bathroom Gel 25","Home Care",2.56,132,237,0.26,0.2,0.12,6,TRUE,TRUE,"shelf","C","pack"
"P248","SKU-CLE-0248","All-Purpose Wipes 25","Cleaning",18.84,133,248,1.27,0.75,0.45,4,TRUE,TRUE,"pallet","B","pallet"
"P249","SKU-OFF-0249","Ink Cartridge 25","Office",2.2,69,231,0.24,0.16,0.09,5,TRUE,TRUE,"shelf","B","bag"
"P250","SKU-GAR-0250","Watering Can 26","Gardening",3.4,135,20,0.26,0.22,0.16,9,FALSE,FALSE,"fragile","A","bottle"
"P251","SKU-HOM-0251","Bathroom Gel 26","Home Care",3.68,136,31,0.32,0.19,0.18,10,FALSE,TRUE,"fragile","A","crate"
"P252","SKU-SNA-0252","Potato Chips 26","Snacks",4.41,137,42,0.2,0.15,0.11,8,TRUE,FALSE,"shelf","B","drum"
"P253","SKU-HOM-0253","Air Freshener 26","Home Care",4.24,138,53,0.26,0.24,0.12,12,TRUE,TRUE,"shelf","B","tube"
"P254","SKU-HAR-0254","Bearing 6205 26","Hardware",6.82,139,64,0.32,0.2,0.14,12,TRUE,TRUE,"shelf","A","can"
"P255","SKU-FRO-0255","Frozen Pizza 26","Frozen",13.9,91,375,0.55,0.38,0.34,11,FALSE,TRUE,"refrigerated","B","pack"
"P256","SKU-TOO-0256","Safety Gloves 26","Tools",27.92,69,101,1.23,0.75,0.45,6,TRUE,FALSE,"pallet","C","pallet"
"P257","SKU-OFF-0257","Stapler 26","Office",22.8,77,303,1.19,0.75,0.45,5,TRUE,TRUE,"pallet","B","pallet"
"P258","SKU-PET-0258","Dog Food 20kg 26","Pet Supplies",5.64,143,108,0.2,0.19,0.11,6,TRUE,TRUE,"shelf","C","bottle"
"P259","SKU-OFF-0259","Binder Clips 26","Office",4.2,79,321,0.24,0.16,0.09,15,TRUE,TRUE,"shelf","B","crate"
"P260","SKU-HAR-0260","Electrical Relay 27","Hardware",8.5,15,130,0.32,0.24,0.14,4,TRUE,FALSE,"shelf","A","drum"
"P261","SKU-FRO-0261","French Fries 27","Frozen",15.94,97,137,0.55,0.38,0.34,3,TRUE,TRUE,"refrigerated","A","tube"
"P262","SKU-HOM-0262","Bathroom Gel 27","Home Care",6.76,17,152,0.26,0.17,0.16,7,TRUE,TRUE,"shelf","C","can"
"P263","SKU-CLE-0263","Trash Bag 27","Cleaning",7.04,18,163,0.32,0.26,0.18,7,TRUE,FALSE,"shelf","B","pack"
"P264","SKU-BEA-0264","Body Lotion 27","Beauty",19.32,19,174,1.15,0.75,0.45,4,TRUE,TRUE,"pallet","A","pallet"
"P265","SKU-HOM-0265","Air Freshener 27","Home Care",7.6,20,185,0.26,0.19,0.12,10,TRUE,FALSE,"shelf","A","bag"
"P266","SKU-HAR-0266","Industrial Screwdriver 27","Hardware",10.18,21,196,0.32,0.15,0.14,10,TRUE,TRUE,"shelf","B","bottle"
"P267","SKU-FRO-0267","Mixed Vegetables 27","Frozen",17.98,103,239,0.55,0.38,0.34,9,TRUE,TRUE,"refrigerated","A","crate"
"P268","SKU-TOO-0268","Level Tool 27","Tools",18.96,16,163,0.28,0.18,0.15,9,FALSE,FALSE,"fragile","C","drum"
"P269","SKU-BEV-0269","Iced Tea 27","Beverages",8.72,24,229,0.37,0.19,0.2,14,FALSE,FALSE,"refrigerated","B","tube"
"P270","SKU-PET-0270","Dog Food 20kg 28","Pet Supplies",23,25,240,1.15,0.75,0.45,5,FALSE,TRUE,"pallet","B","pallet"
"P271","SKU-HOM-0271","Disinfectant Spray 28","Home Care",28.28,26,251,1.21,0.75,0.45,7,TRUE,TRUE,"pallet","A","pallet"
"P272","SKU-FRO-0272","Frozen Berry Mix 28","Frozen",19.68,18,324,0.55,0.38,0.34,14,TRUE,FALSE,"refrigerated","A","box"
"P273","SKU-BEV-0273","Craft Lager 28","Beverages",9.84,28,23,0.25,0.17,0.17,4,FALSE,TRUE,"refrigerated","C","bag"
"P274","SKU-BEA-0274","Body Lotion 28","Beauty",10.12,29,34,0.26,0.24,0.16,2,TRUE,TRUE,"shelf","A","bottle"
"P275","SKU-OFF-0275","Label Roll 28","Office",2.6,95,205,0.24,0.16,0.09,3,TRUE,TRUE,"shelf","B","crate"
"P276","SKU-CLE-0276","Mop Head 28","Cleaning",26.68,31,56,1.15,0.75,0.45,6,TRUE,TRUE,"pallet","C","pallet"
"P277","SKU-DAI-0277","Whole Milk 28","Dairy",13.41,81,781,0.4,0.29,0.24,4,FALSE,FALSE,"refrigerated","A","tube"
"P278","SKU-FRO-0278","French Fries 28","Frozen",3.02,24,426,0.55,0.38,0.34,6,TRUE,TRUE,"refrigerated","B","can"
"P279","SKU-TOO-0279","Utility Knife 28","Tools",4.68,27,204,0.28,0.18,0.15,6,TRUE,FALSE,"shelf","C","pack"
"P280","SKU-BEA-0280","Body Lotion 29","Beauty",11.8,35,100,0.26,0.15,0.16,8,TRUE,TRUE,"shelf","C","box"
"P281","SKU-SNA-0281","Trail Mix 29","Snacks",25.53,36,111,1.27,0.75,0.48,6,FALSE,TRUE,"pallet","C","pallet"
"P282","SKU-CLE-0282","Mop Head 29","Cleaning",30.36,37,122,1.15,0.75,0.45,7,TRUE,TRUE,"pallet","A","pallet"
"P283","SKU-OFF-0283","Label Roll 29","Office",4.2,103,277,0.24,0.16,0.09,11,FALSE,TRUE,"fragile","B","crate"
"P284","SKU-OFF-0284","Stapler 29","Office",4.4,104,286,0.24,0.16,0.09,12,TRUE,TRUE,"shelf","B","drum"
"P285","SKU-HAR-0285","Pneumatic Valve 29","Hardware",15.5,40,155,0.2,0.22,0.15,15,TRUE,FALSE,"fragile","B","tube"
"P286","SKU-HOM-0286","Laundry Detergent 29","Home Care",13.48,41,166,0.26,0.19,0.16,3,TRUE,TRUE,"shelf","A","can"
"P287","SKU-GAR-0287","Potting Mix 29","Gardening",13.76,42,177,0.32,0.15,0.18,4,FALSE,TRUE,"shelf","A","pack"
"P288","SKU-FRO-0288","Frozen Pizza 29","Frozen",6.42,34,256,0.55,0.38,0.34,2,FALSE,TRUE,"refrigerated","A","box"
"P289","SKU-HOM-0289","Disinfectant Spray 29","Home Care",14.32,44,199,0.26,0.2,0.12,6,FALSE,TRUE,"shelf","B","bag"
"P290","SKU-HAR-0290","Pneumatic Valve 30","Hardware",16.9,45,210,0.32,0.17,0.14,6,FALSE,TRUE,"shelf","B","bottle"
"P291","SKU-BEA-0291","Hand Cream 30","Beauty",14.88,46,221,0.2,0.26,0.15,5,FALSE,TRUE,"shelf","B","crate"
"P292","SKU-SNA-0292","Granola Bites 30","Snacks",27.61,47,232,1.21,0.75,0.46,6,TRUE,FALSE,"pallet","A","pallet"
"P293","SKU-HAR-0293","Pneumatic Valve 30","Hardware",17.74,48,243,0.32,0.19,0.18,9,TRUE,TRUE,"shelf","C","tube"
"P294","SKU-FRO-0294","Berry Smoothie Cubes 30","Frozen",8.46,40,358,0.55,0.38,0.34,8,FALSE,TRUE,"refrigerated","B","can"
"P295","SKU-TOO-0295","Level Tool 30","Tools",11.4,43,160,0.28,0.18,0.15,8,TRUE,FALSE,"shelf","C","pack"
"P296","SKU-FRO-0296","French Fries 30","Frozen",9.14,42,392,0.55,0.38,0.34,10,FALSE,TRUE,"refrigerated","A","box"
"P297","SKU-TOO-0297","Measuring Tape 30","Tools",21.24,45,202,1.23,0.75,0.45,5,TRUE,TRUE,"pallet","C","pallet"
"P298","SKU-SNA-0298","Trail Mix 30","Snacks",31.29,53,48,1.21,0.75,0.46,7,FALSE,TRUE,"pallet","C","pallet"
"P299","SKU-CLE-0299","Microfiber Cloth 30","Cleaning",17.12,54,59,0.32,0.22,0.18,15,TRUE,TRUE,"shelf","A","crate"
"P300","SKU-FRO-0300","Berry Smoothie Cubes 31","Frozen",10.5,46,120,0.55,0.38,0.34,14,FALSE,FALSE,"refrigerated","B","drum"
"P301","SKU-BEV-0301","Iced Tea 31","Beverages",17.68,56,81,0.31,0.17,0.14,4,TRUE,TRUE,"refrigerated","A","tube"
"P302","SKU-PET-0302","Dog Food 20kg 31","Pet Supplies",17.96,57,92,0.32,0.24,0.14,8,FALSE,FALSE,"shelf","B","can"
"P303","SKU-DAI-0303","Cream Cheese 31","Dairy",2.19,107,499,0.4,0.29,0.24,2,FALSE,TRUE,"refrigerated","A","pack"
"P304","SKU-PET-0304","Paw Cream 31","Pet Supplies",18.52,59,114,0.26,0.17,0.16,10,TRUE,TRUE,"shelf","C","box"
"P305","SKU-OFF-0305","Ink Cartridge 31","Office",3.8,125,215,0.24,0.16,0.09,5,FALSE,TRUE,"fragile","B","bag"
"P306","SKU-SNA-0306","Trail Mix 31","Snacks",19.53,61,136,0.2,0.22,0.11,6,TRUE,TRUE,"shelf","A","bottle"
"P307","SKU-BEV-0307","Craft Lager 31","Beverages",19.36,62,147,0.31,0.21,0.14,10,FALSE,TRUE,"refrigerated","B","crate"
"P308","SKU-BEA-0308","Deodorant 31","Beauty",19.64,63,158,0.32,0.15,0.14,8,FALSE,FALSE,"fragile","A","drum"
"P309","SKU-HAR-0309","Bearing 6205 31","Hardware",22.22,64,169,0.2,0.24,0.15,11,FALSE,TRUE,"shelf","C","tube"
"P310","SKU-BEA-0310","Hand Cream 32","Beauty",38.2,65,180,1.21,0.75,0.46,9,TRUE,TRUE,"pallet","B","pallet"
"P311","SKU-BEV-0311","Iced Tea 32","Beverages",20.48,66,191,0.37,0.19,0.2,14,TRUE,TRUE,"refrigerated","C","pack"
"P312","SKU-BEA-0312","Body Lotion 32","Beauty",20.76,67,202,0.2,0.26,0.11,12,FALSE,FALSE,"shelf","A","box"
"P313","SKU-DAI-0313","Curd Set 32","Dairy",5.49,117,629,0.4,0.29,0.24,12,FALSE,TRUE,"refrigerated","A","bag"
"P314","SKU-BEA-0314","Body Lotion 32","Beauty",21.32,69,224,0.32,0.19,0.14,14,FALSE,TRUE,"shelf","B","bottle"
"P315","SKU-SNA-0315","Trail Mix 32","Snacks",22.05,70,235,0.2,0.15,0.15,15,TRUE,TRUE,"shelf","B","crate"
"P316","SKU-HOM-0316","Laundry Detergent 32","Home Care",21.88,71,246,0.26,0.24,0.16,5,TRUE,TRUE,"shelf","B","drum"
"P317","SKU-CLE-0317","Bleach 32","Cleaning",22.16,72,257,0.32,0.2,0.18,5,TRUE,TRUE,"shelf","C","tube"
"P318","SKU-PET-0318","Paw Cream 32","Pet Supplies",22.44,73,268,0.2,0.17,0.11,10,TRUE,TRUE,"shelf","B","can"
"P319","SKU-SNA-0319","Trail Mix 32","Snacks",23.17,74,29,0.26,0.26,0.12,5,TRUE,TRUE,"fragile","A","pack"
"P320","SKU-BEA-0320","Deodorant 33","Beauty",0.6,75,40,0.32,0.22,0.14,6,TRUE,TRUE,"shelf","B","box"
